Major,Year,Link,Requirements
Engineering Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AM-Engineering-Specialization.html,"{'1. All of': ['AMATH 271 Introduction to Theoretical Mechanics', 'AMATH 361 Continuum Mechanics', 'AMATH 463 Fluid Mechanics', 'GENE 123 Electrical Circuits and Instrumentation', 'ME 219 Mechanics of Deformable Solids 1', 'ME 250 Thermodynamics 1', 'ME 353 Heat Transfer 1', 'ME 354 Thermodynamics 2', 'ME 456 Heat Transfer 2', 'PHYS 122 Waves, Electricity and Magnetism'], '2. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)', 'STAT 331 Applied Linear Models', 'STAT 340 Stochastic Simulation Methods'], '3. One of': ['ME 557 Combustion 1', 'ME 564\xa0Aerodynamics', 'ME 571 Air Pollution']}"
Physics Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-AM-Physics-Specialization.html,"{'1. 4.0 units, at least 2.0 units of which are at the 300- or 400-level, from the following list:': ['AMATH 271 Introduction to Theoretical Mechanics', 'AMATH 361 Continuum Mechanics', 'AMATH 373 Quantum Theory 1', 'AMATH 463 Fluid Mechanics', 'AMATH 473/PHYS 454 Quantum Theory 2', 'AMATH 475/PHYS 476 Introduction to General Relativity', 'ECE 403 Thermal Physics or PHYS 358 Thermal Physics'], '2. Any PHYS course (see Note 3)': []}"
Combinatorics and Optimization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Combinatorics-and-Optimization2.html,"{'1. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '2. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '3. One of': ['CO 330 Combinatorial Enumeration', 'CO 342 Introduction to Graph Theory'], '4. One of': ['CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'Note: If CO 255 is taken, this requirement can be satisfied by taking one of CO 450 to CO 471.'], '5. Three additional courses chosen from': ['CO 330 Combinatorial Enumeration', 'CO 331 Coding Theory', 'CO 342 Introduction to Graph Theory', 'CO 351 Network Flow Theory', 'CO 353\xa0Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 430 to CO 487, excluding CO 480'], '6. All of': ['PMATH 336 Introduction to Group Theory with Applications or PMATH 347 Groups and Rings'], '7. Three of': ['MATH 237 Calculus 3 for Honours Mathematics or MATH 247 Calculus 3 (Advanced Level)', 'AMATH 331/PMATH 331 Applied Real Analysis or PMATH 333 Introduction to Real Analysis', 'AMATH 332/PMATH 332 Applied Complex Analysis', 'CS 462 Formal Languages and Parsing', 'CS 466 Algorithm Design and Analysis', 'CS 487 Introduction to Symbolic Computation', 'PMATH 334 Introduction to Rings and Fields with Applications or PMATH 348 Fields and Galois Theory', 'PMATH 340 Elementary Number Theory'], '8. Note: These fourth-year CS courses are open only to Computer Science majors.': [], '9. Two additional 300- or 400-level math courses with a subject code other than CO': [], '10. One additional 300- or 400-level math course': [], '11. Three additional math courses': []}"
Joint Combinatorics and Optimization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Joint-Combinatorics-and-Optimization1.html,"{'1. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '2. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '3. Four additional courses chosen from': ['CO 330 Combinatorial Enumeration', 'CO 331 Coding Theory', 'CO 342 Introduction to Graph Theory', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 430 to CO 487, excluding CO 480'], '4. All of': ['PMATH 336 Introduction to Group Theory with Applications or PMATH 347 Groups and Rings'], '5. Three of': ['AMATH 331/PMATH 331 Applied Real Analysis or PMATH 333 Introduction to Real Analysis', 'AMATH 332/PMATH 332 Applied Complex Analysis', 'CS 341 Algorithms', 'CS 360 Introduction to the Theory of Computing', 'CS 466 Algorithm Design and Analysis', 'MATH 237 Calculus 3 for Honours Mathematics or MATH 247 Calculus 3 (Advanced Level)', 'PMATH 334 Introduction to Rings and Fields with Applications or PMATH 348 Fields and Galois Theory', 'PMATH 340 Elementary Number Theory', 'Note: CS 466 is open only to Computer Science joint majors.']}"
Mathematical Optimization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Mathematical-Optimization1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '3. One of': ['AMATH 242/CS 371 Introduction to Computational Mathematics', 'CS 370 Numerical Computation'], '4. One of': ['CO 250 Introduction to Optimization', 'CO 255 Introduction to Optimization (Advanced Level)'], '5. One of': ['CS 330 Management Information Systems', 'CS 490 Information Systems Management'], '6. All of': ['AFM 101 Introduction to Financial Accounting', 'CO 370 Deterministic OR Models', 'ECON 101 Introduction to Microeconomics', 'MSCI 211 Organizational Behaviour', 'STAT 340 Stochastic Simulation Methods'], '7. Three additional courses chosen from': ['CO 342 Introduction to Graph Theory', 'CO 351 Network Flow Theory', 'CO 353 Computational Discrete Optimization', 'CO 367 Nonlinear Optimization', 'CO 372 Portfolio Optimization Models', 'CO 450\xa0Combinatorial Optimization', 'CO 452 Integer Programming', 'CO 454 Scheduling', 'CO 456 Introduction to Game Theory', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CO 471 Semidefinite Optimization']}"
Computer Science,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Bachelor-of-Mathematics-Computer-Science-1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '3. All of': ['CS 240 Data Structures and Data Management', 'CS 241 Foundations of Sequential Programs', 'CS 245 Logic and Computation', 'CS 246 Object-Oriented Software Development', 'CS 251 Computer Organization and Design', 'CS 341 Algorithms', 'CS 350 Operating Systems'], '4. One of': ['AMATH 242/CS 371 Introduction to Computational Mathematics', 'CS 370 Numerical Computation'], '5. One of': ['CS 360 Introduction to the Theory of Computing', 'CS 365 Models of Computation'], '6. One additional CS course chosen from CS 340-CS 398, CS 440-CS 489': [], '7. Two additional CS courses chosen from CS 440-CS 489': [], '8. One additional course chosen from': ['CO 487 Applied Cryptography', 'CS 440-CS 498', 'CS 499T Honours Thesis', 'STAT 440 Computational Inference'], '9. CS 600- or 700-level courses': [], '10. Note: CS 600- or 700-level courses may be taken only if an equivalent 400-level course does not exist and special permission is obtained from the instructor and a\xa0CS academic advisor. Courses in this list may be counted as CS 0.5 unit.': [], '11. Three additional courses with ACTSC, AMATH, CO, PMATH, STAT subject codes, excluding the following:': ['Courses with requisites normally excluding Honours Computer Science students', 'Courses cross-listed with a CS course'], '12. Courses explicitly listed in Computer Science major academic plans as alternatives to CS courses': [], '13. Readings and topics courses': ['ACTSC 221, CO 353, CO 380, CO 480', '5.0 non-math units, which must satisfy the same restrictions as specified for the Bachelor of Computer Science']}"
Joint Computer Science,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Joint-Computer-Science-Bach-of-Math.html,"{'1. See Bachelor of Computer Science and Bachelor of Mathematics Academic Plan Combinations for a description of joint academic plan requirements. Note:\xa0Both majors designated in joint academic plans must be disciplines within the Faculty of Mathematics. The joint requirements for Joint Computer Science (Bachelor of Mathematics) are identical to those for the Joint Bachelor of Computer Science.': []}"
Artificial Intelligence Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Artificial-Intelligence-Spec.html,"{'1. All of': ['CS 486 Introduction to Artificial Intelligence', 'CS 492 The Social Implications of Computing'], '2. One of': ['CS 480 Introduction to Machine Learning', 'CS 485 Statistical and Computational Foundations of Machine Learning'], '3. One of': ['ECE 380 Analog Control Systems', 'SE 380 Introduction to Feedback Control'], '4. Three additional courses, one of which must be from Mathematics and one from Engineering, from': ['CO 367 Nonlinear Optimization', 'CO 456 Introduction to Game Theory', 'CO 463 Convex Optimization and Analysis', 'CO 466 Continuous Optimization', 'CS 452 Real-time Programming', 'CS 480 Introduction to Machine Learning', 'CS 484 Computational Vision', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'STAT 341 Computational Statistics and Data Analysis', 'STAT 440 Computational Inference', 'STAT 441 Statistical Learning - Classification', 'STAT 444 Statistical Learning - Advanced Regression', 'ECE 423 Embedded Computer Systems', 'ECE 481 Digital Control Systems', 'ECE 486 Robot Dynamics and Control', 'ECE 488 Multivariable Control Systems', 'MSCI 446 Data Mining', 'MTE 544 Autonomous Mobile Robots', 'SYDE 522\xa0Foundations of Artificial Intelligence', 'SYDE 556 Simulating Neurobiological Systems', 'SYDE 572 Introduction to Pattern Recognition']}"
Bioinformatics Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Bioinformatics-Spec.html,"{'1. Elective breadth and depth requirements are waived, and': [], '2. Both academic plans include the following additional requirements.': [], '3. All of': ['BIOL 130 Introductory Cell Biology', 'BIOL 130L Cell Biology Laboratory', 'BIOL 239 Genetics', 'BIOL 240 Fundamentals of Microbiology', 'BIOL 240L Microbiology Laboratory', 'BIOL 309 Analytical Methods in Molecular Biology', 'BIOL 365 Methods in Bioinformatics', 'BIOL 465 Structural Bioinformatics', 'CHEM 120 General Chemistry 1', 'CHEM 120L General Chemistry Laboratory 1', 'CHEM 123 General Chemistry 2', 'CHEM 123L General Chemistry Laboratory 2', 'CS 482 Computational Techniques in Biological Sequence Analysis']}"
Business Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Business-Spec.html,"{'1. Two of': ['CS 348 Introduction to Database Management', 'CS 454 Distributed Systems', 'CS 490 Information Systems Management'], '2. Six of': ['ACTSC 231 Introductory Financial Mathematics', 'ACTSC 371 Introduction to Investments', 'ACTSC 372 Corporate Finance', 'AFM 101 Introduction to Financial Accounting or AFM 123/ARBUS 102 Accounting Information for Managers', 'AFM 102 Introduction to Managerial Accounting', 'AFM 131/ARBUS 101 Introduction to Business in North America or BUS 111W Understanding the Business Environment', 'ARBUS 302/MGMT 244\xa0Principles of Marketing', 'BUS 121W Functional Areas of the Organization', 'BUS 362W Building and Managing Products, Services and Brands', 'BUS 481W Business Policy I', 'BUS 491W Business Policy II', 'COMM 400 Entrepreneurship, Technology and the Emerging Information Economy', 'ECON 101 Introduction to Microeconomics', 'ECON 102 Introduction to Macroeconomics', 'HRM 200 Basic Human Resources Management', 'MGMT 220 Entrepreneurship and the Creative Workplace', 'MSCI 211 Organizational Behaviour or PSYCH 238 Organizational Psychology', 'MSCI 311 Organizational Design and Technology', 'MSCI 452 Decision Making Under Uncertainty']}"
Computational Fine Art Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Computational-Fine-Art-Spec.html,"{'1. All of': ['CS 349 User Interfaces', 'CS 383/FINE 383 Computational Digital Art Studio', 'CS 488 Introduction to Computer Graphics'], '2. One first-year studio course from': ['FINE 100 Studio Fundamentals', 'FINE 130\xa0Introduction to Digital Imaging'], '3. One second-year studio course from': ['FINE 228 Design and imaging', 'FINE 247 Expanded Media: Interaction'], '4. One art theory course from': ['FINE 257\xa0Video, New Media and the Digital Turn', 'VCULT 200 Visual Studies Across the Discipline']}"
Digital Hardware Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Digital-Hardware-Spec.html,"{'1. Two of': ['CS 452 Real-time Programming', 'CS 454 Distributed Systems', 'CS 456 Computer Networks', 'CS 457 System Performance Evaluation'], '2. One of': ['ECE 224 Embedded Microprocessor Systems', 'MTE 325 Microprocessor Systems and Interfacing for Mechatronics Engineering'], '3. One of': ['ECE 320 Computer Architecture', 'CS 450 Computer Architecture'], '4. One of': ['GENE 123 Electrical Circuits and Instrumentation', 'MTE 120 Circuits'], '5. All of': ['ECE 124 Digital Circuits and Systems', 'ECE 327 Digital Hardware Systems', 'ECE 423 Embedded Computer Systems']}"
Human-Computer Interaction Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Human-Computer-Interaction-Spec.html,"{'1. All of': ['CS 349 User Interfaces', 'CS 449 Human-Computer Interaction', 'CS 492 The Social Implications of Computing'], '2. Two of': ['CS 445/ECE 451\xa0or SE 463 Software Requirements Specification and Analysis', 'CS 446/ECE 452\xa0or\xa0SE 464 Software Design and Architectures', 'CS 447/ECE 453\xa0Software Testing, Quality Assurance, and Maintenance or SE 465\xa0Software Testing and Quality Assurance', 'CS 454 Distributed Systems', 'CS 458 Computer Security and Privacy', 'CS 480 Introduction to Machine Learning or CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 484 Computational Vision', 'CS 488 Introduction to Computer Graphics'], '3. Two of': ['ENGL 108D Digital Lives', 'ENGL 293 Introduction to Digital Media Studies', 'ENGL 295 Social Media', 'FINE 150 Appreciation and Expression', 'FINE 257 Video, New Media and the Digital Turn', 'INTEG 251 Creative Thinking', 'KIN 320 Task Analysis', 'PSYCH 207 Cognitive Processes', 'PSYCH 261 Physiological Psychology', 'STAT 332 Sampling and Experimental Design', 'STAT 430 Experimental Design']}"
Software Engineering Specialization,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Computer-Sci-Software-Engineering-Spec.html,"{'1. All of': ['CS 445/ECE 451 Software Requirements Specification and Analysis', 'CS 446/ECE 452 Software Design and Architectures', 'CS 447/ECE 453 Software Testing, Quality Assurance and Maintenance', 'CS 492 The Social Implications of Computing']}"
Pure Mathematics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Pure-Mathematics1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '3. All of': ['PMATH 347 Groups and Rings', 'PMATH 348 Fields and Galois Theory', 'PMATH 351 Real Analysis', 'PMATH 352 Complex Analysis', 'PMATH 365 Differential Geometry', 'PMATH 450 Lebesgue Integration and Fourier Analysis'], '4. Three additional 400-level PMATH courses': [], '5. Two additional 400-level math courses': []}"
Joint Pure Mathematics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Joint-Pure-Mathematics1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. One of': ['AMATH 331/PMATH 331 Applied Real Analysis', 'PMATH 333 Introduction to Real Analysis', 'PMATH 351 Real Analysis'], '3. One of': ['AMATH 332/PMATH 332 Applied Complex Analysis', 'PMATH 352 Complex Analysis'], '4. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)', 'An additional PMATH course'], '5. Two of': ['PMATH 334 Introduction to Rings and Fields with Applications', 'PMATH 336 Introduction to Group Theory with Applications', 'PMATH 347 Groups and Rings', 'PMATH 348 Fields and Galois Theory'], '6. Three additional PMATH courses': []}"
Statistics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Statistics1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['ENGL 378/MTHEL 300 Professional Communications in Statistics and Actuarial Science', 'STAT 330 Mathematical Statistics', 'STAT 331 Applied Linear Models', 'STAT 332 Sampling and Experimental Design', 'STAT 333 Stochastic Processes 1'], '3. One of': ['MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)', 'AMATH 231 Calculus 4', 'AMATH 242/CS 371 Introduction to Computational Mathematics', 'AMATH 250 Introduction to Differential Equations', 'AMATH 251 Introduction to Differential Equations (Advanced Level)', 'AMATH 350 Differential Equations for Business and Economics'], '4. Two 400-level STAT courses': [], '5. One additional 300- or 400-level STAT course': [], '6. One of': [], '7. One additional 400-level STAT course': ['CS 457 System Performance Evaluation', 'CS 485 Statistical and Computational Foundations of Machine Learning', 'CS 486 Introduction to Artificial Intelligence'], '8. Four additional 300- or 400-level math courses.': [], '9. At least three additional math courses': []}"
Joint Statistics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Joint-Statistics1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['ENGL 378/MTHEL 300 Professional Communications in Statistics and Actuarial Science', 'STAT 330 Mathematical Statistics', 'STAT 331 Applied Linear Models', 'STAT 333 Stochastic Processes 1'], '3. Two 400-level STAT courses': [], '4. One additional 300- or 400-level STAT course': []}"
Biostatistics,2022-2023,https://academic-calendar-archive.uwaterloo.ca/undergraduate-studies/2022-2023/page/MATH-Biostatistics1.html,"{'1. One of': ['MATH 237 Calculus 3 for Honours Mathematics', 'MATH 247 Calculus 3 (Advanced Level)'], '2. All of': ['ENGL 378/MTHEL 300 Professional Communications in Statistics and Actuarial Science', 'STAT 330 Mathematical Statistics', 'STAT 331 Applied Linear Models', 'STAT 332 Sampling and Experimental Design', 'STAT 333 Stochastic Processes 1', 'STAT 337 Introduction to Biostatistics', 'STAT 431 Generalized Linear Models and their Applications', 'STAT 437 Statistical Methods for Life History Analysis', 'STAT 438 Advanced Methods in Biostatistics'], '3. One of': ['AMATH 231 Calculus 4', 'AMATH 242/CS 371 Introduction to Computational Mathematics', 'AMATH 250 Introduction to Differential Equations', 'AMATH 251 Introduction to Differential Equations (Advanced Level)', 'AMATH 350 Differential Equations for Business and Economics', 'MATH 239 Introduction to Combinatorics', 'MATH 249 Introduction to Combinatorics (Advanced Level)'], '4. One of': ['BIOL 239 Genetics', 'HLTH 101 Introduction to Health 1'], '5. Two additional 300- or 400-level STAT courses': [], '6. Two additional 300- or 400-level math courses': [], '7. At least three additional math courses': []}"
